Date,Bill Amount,Days in Billing Cycle,KWH Usage
2022 April,$83.46 ,28,704
2022 August,$218.80 ,27,"1,971"
2022 December,$59.35 ,29,479
2022 February,$34.19 ,24,267
2022 January,$98.23 ,35,784
2022 July,$127.00 ,35,"1,099"
2022 June,$110.87 ,28,953
2022 March,$71.46 ,34,595
2022 May,$87.22 ,33,738
2022 November ,$79.49 ,30,660
2022 October,$34.72 ,28,271
2022 September,$163.00 ,35,"1,526"
2023 April,$55.32 ,28,484
2023 August,$141.78 ,28,"1,078"
2023 December,$81.03 ,28,507
2023 January,$72.15 ,34,611
2023 July,$138.52 ,35,"1,081"
2023 June,$59.42 ,28,499
2023 March,$72.72 ,31,655
2023 May,$87.82 ,33,803
2023 November ,$92.43 ,31,591
2023 October,$96.64 ,27,666
2023 September,$175.66 ,34,"1,275"
2024 January,$98.16 ,35,662
2024 February,$118.64 ,27,806
2024 January,$98.16 ,35,662
2024 March,$96.24 ,33,645
